"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"28999","JJ539184","12/30/2025 03:04:00 PM","009XX W 85TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0613","006","17","71","01A","1171676","1848472","2025","01/07/2026 03:44:10 PM","41.739662581","-87.646586429","(41.739662581, -87.646586429)"
"28998","JJ539095","12/30/2025 01:58:00 PM","007XX N SPAULDING AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1121","011","27","23","01A","1154240","1904796","2025","01/07/2026 03:44:10 PM","41.894587193","-87.708970317","(41.894587193, -87.708970317)"
"28997","JJ518046","12/30/2025 02:18:00 AM","015XX E 74TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0324","003","8","43","01A","1187743","1856228","2025","01/07/2026 03:44:10 PM","41.760578867","-87.587473675","(41.760578867, -87.587473675)"
"28995","JJ536795","12/28/2025 03:14:00 AM","004XX N LA SALLE DR","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1831","018","42","8","01A","1175059","1903379","2025","01/05/2026 03:43:46 PM","41.890257683","-87.63255111","(41.890257683, -87.63255111)"
"28994","JJ535884","12/27/2025 04:15:00 AM","052XX N SHERIDAN RD","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","2023","020","48","77","01A","1168697","1934885","2025","01/04/2026 03:41:22 PM","41.976851852","-87.654999693","(41.976851852, -87.654999693)"
"28992","JJ535721","12/26/2025 10:30:00 PM","004XX E 72ND ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0323","003","6","69","01A","1180590","1857382","2025","01/03/2026 03:41:35 PM","41.763912764","-87.613654037","(41.763912764, -87.613654037)"
"28991","JJ535495","12/26/2025 05:50:00 PM","080XX S HARVARD AVE","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","0623","006","6","44","01A","1175350","1851698","2025","01/03/2026 03:41:35 PM","41.748433888","-87.633029308","(41.748433888, -87.633029308)"
"28990","JJ534708","12/25/2025 10:38:00 PM","074XX S COTTAGE GROVE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0323","003","6","69","01A","1182845","1855957","2025","01/02/2026 03:42:16 PM","41.759950351","-87.605433227","(41.759950351, -87.605433227)"
"28988","JJ533043","12/24/2025 12:40:00 AM","070XX S HALSTED ST","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","0732","007","6","68","01A","1172186","1858083","2025","01/01/2026 03:46:55 PM","41.766025213","-87.644435915","(41.766025213, -87.644435915)"
"28987","JJ531908","12/23/2025 07:00:00 AM","016XX E 95TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","0431","004","7","51","01A","1188861","1842311","2025","12/31/2025 03:41:59 PM","41.722362598","-87.58382047","(41.722362598, -87.58382047)"
