BRANCH,SERVICE HOURS,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,BRANCH EMAIL,LONGITUDE,LATITUDE
Albany Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3401 W. Foster Ave.,Chicago,IL,60625,(773) 539-5450,https://www.chipublib.org/locations/3/,albanypark@chipublib.org,-87.71361315,41.97557882
Altgeld,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",955 E. 131st St.,Chicago,IL,60827,(312) 747-3270,https://www.chipublib.org/locations/4/,altgeld@chipublib.org,-87.59883829,41.65719848
Archer Heights,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5055 S. Archer Ave.,Chicago,IL,60632,(312) 747-9241,https://www.chipublib.org/locations/5/,archerheights@chipublib.org,-87.72648386,41.80110836
Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5615 W. Race Ave.,Chicago,IL,60644,(312) 746-5038,https://www.chipublib.org/locations/6/,austin@chipublib.org,-87.76582036,41.88917312
Austin-Irving,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6100 W. Irving Park Rd.,Chicago,IL,60634,(312) 744-6222,https://www.chipublib.org/locations/7/,austin-irving@chipublib.org,-87.77928489,41.95312268
Avalon,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8148 S. Stony Island Ave.,Chicago,IL,60617,(312) 747-5234,https://www.chipublib.org/locations/8/,avalon@chipublib.org,-87.58600537,41.74639304
Back of the Yards,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2111 W. 47th St.,Chicago,IL,60609,(312) 747-9595,https://www.chipublib.org/locations/9/,backoftheyards@chipublib.org,-87.67756964,41.80838442
Beverly,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1962 W. 95th St.,Chicago,IL,60643,(312) 747-9673,https://www.chipublib.org/locations/10/,beverly@chipublib.org,-87.67214621,41.72118979
Bezazian,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1226 W. Ainslie St.,Chicago,IL,60640,(312) 744-0019,https://www.chipublib.org/locations/11/,bezazian@chipublib.org,-87.66095348,41.97155144
Blackstone,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4904 S. Lake Park Ave.,Chicago,IL,60615,(312) 747-0511,https://www.chipublib.org/locations/12/,blackstone@chipublib.org,-87.58923749,41.80549277
