objectid,filename,title,creator,date,subject,location,latitude,longitude,type,format,extent,rights,source
mhss_001,mhss_001.jpg,"Storm warning tower at Wrack Point, looking northeast","Alden, H. P.",1889-10-12,signal towers; storm warnings; Wrack Point,"Wrack Point, Marlow Harbor",43.5312,-70.2461,Image,image/jpeg,"1 photographic print: albumen, 12 x 17 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 1"
mhss_002,mhss_002.jpg,Keeper Ellery Vance hoisting the small-craft pennant,Unidentified photographer,1903-08-04,signalmen; flags; small craft warnings,Marlow Harbor Signal Station,43.5288,-70.2517,Image,image/jpeg,"1 photographic print: gelatin silver, 10 x 13 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Vance Family Deposit"
mhss_003,mhss_003.pdf,"Signal station daybook, September 1911",Marlow Harbor Signal Station,1911-09,logbooks; barometric pressure; weather observation,Marlow Harbor Signal Station,43.5288,-70.2517,Text,application/pdf,31 pages,No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 4"
mhss_004,mhss_004.jpg,Kestrel Head Light and fog bell house after the November gale,"Alden, H. P.",1898-11-29,lighthouses; storm damage; Kestrel Head; gales,Kestrel Head Light,43.5601,-70.2183,Image,image/jpeg,"1 photographic print: albumen, 13 x 18 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 1"
mhss_005,mhss_005.jpg,"Bunting set: hurricane warning, two square flags",Unknown maker,1924,flags; hurricane warnings; textiles,Marlow Harbor Signal Station,43.5288,-70.2517,PhysicalObject,image/jpeg,"2 flags: wool bunting, each 91 x 91 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Object Collection 1971.14"
mhss_006,mhss_006.pdf,"Printed card of harbor signals, distributed to masters",Marlow Harbor Board of Trade,1907,broadsides; harbor regulations; signal codes,Marlow Harbor,43.5273,-70.2540,Text,application/pdf,"1 sheet, printed both sides, 28 x 43 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Board of Trade Records"
mhss_007,mhss_007.jpg,Fishing fleet at anchor under the small-craft warning,Unidentified photographer,1931-04-17,fishing boats; small craft warnings; harbors,Little Marlow Wharf,43.5241,-70.2602,Image,image/jpeg,"1 photographic print: gelatin silver, 13 x 18 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Waterfront Views Collection"
mhss_008,mhss_008.jpg,"Aneroid barometer, station instrument no. 2","Negus & Sons, New York",1894,barometers; scientific instruments; weather observation,Marlow Harbor Signal Station,43.5288,-70.2517,PhysicalObject,image/jpeg,"1 instrument: brass and glass, 16 cm diameter",No known copyright restrictions.,"Marlow Harbor Historical Society, Object Collection 1968.02"
mhss_009,mhss_009.mp3,Oral history interview with Ruth Vance Doyle,Marlow Harbor Historical Society,1974-06-11,oral histories; signalmen; family life,Marlow Harbor Signal Station,43.5288,-70.2517,Sound,audio/mpeg,1 audio file: 47 min,Used with permission of the interviewee's family.,"Marlow Harbor Historical Society, Oral History Program"
mhss_010,mhss_010.jpg,Telegraph key and sounder used for warning dispatches,Unknown maker,1902,telegraphy; scientific instruments; storm warnings,Marlow Harbor Signal Station,43.5288,-70.2517,PhysicalObject,image/jpeg,"1 instrument: brass and walnut, 19 x 11 x 8 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Object Collection 1968.09"
mhss_011,mhss_011.jpg,Schooner Ada M. Pike aground on Sable Reach,"Alden, H. P.",1900-03-08,shipwrecks; schooners; Sable Reach; fog,Sable Reach,43.5077,-70.2064,Image,image/jpeg,"1 photographic print: gelatin silver, 18 x 24 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Wreck Photographs"
mhss_012,mhss_012.pdf,"Monthly weather summary, station returns for 1922",Marlow Harbor Signal Station,1922,statistics; weather observation; logbooks,Marlow Harbor Signal Station,43.5288,-70.2517,Text,application/pdf,12 sheets,No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 6"
mhss_013,mhss_013.jpg,"Lantern hoist for night display, Coldharbor Station",Unidentified photographer,1916-09-22,lanterns; night signals; Coldharbor; storm warnings,Coldharbor Station,43.5455,-70.2789,Image,image/jpeg,"1 photographic print: gelatin silver, 10 x 13 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 2"
mhss_014,mhss_014.jpg,"Observers' quarters at Coldharbor, interior",Unidentified photographer,1919-07,interiors; signalmen; Coldharbor,Coldharbor Station,43.5455,-70.2789,Image,image/jpeg,"1 photographic print: gelatin silver, 13 x 18 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 2"
mhss_015,mhss_015.jpg,Chart of Marlow Harbor with signal sightlines marked in red,"Vance, Ellery",1908,maps and charts; harbors; sightlines,Marlow Harbor,43.5273,-70.2540,Image,image/jpeg,"1 chart: ink and pencil on printed chart, 56 x 74 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Vance Family Deposit"
mhss_016,mhss_016.jpg,Crowd on the fish pier watching the hurricane hoist,Unidentified photographer,1938-09-20,hurricane warnings; crowds; Little Marlow Wharf,Little Marlow Wharf,43.5241,-70.2602,Image,image/jpeg,"1 photographic print: gelatin silver, 13 x 18 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Waterfront Views Collection"
mhss_017,mhss_017.pdf,Letter from the district office on the closing of Wrack Point,"United States Weather Bureau, District Office",1941-02-03,correspondence; Wrack Point; radio,"Wrack Point, Marlow Harbor",43.5312,-70.2461,Text,application/pdf,2 pages,No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 9"
mhss_018,mhss_018.jpg,Radio receiver installed at the harbor station,Unidentified photographer,1936-05,radio; weather observation; scientific instruments,Marlow Harbor Signal Station,43.5288,-70.2517,Image,image/jpeg,"1 photographic print: gelatin silver, 10 x 13 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Signal Service Papers, Box 3"
mhss_019,mhss_019.jpg,"Wrack Point mast lowered, final day of service","Doyle, Ruth Vance",1953-10-30,signal towers; Wrack Point; demolition,"Wrack Point, Marlow Harbor",43.5312,-70.2461,Image,image/jpeg,"1 photographic print: gelatin silver, 9 x 9 cm",Used with permission of the photographer's family.,"Marlow Harbor Historical Society, Vance Family Deposit"
mhss_020,mhss_020.jpg,Sable Reach day marker and the lifesaving crew's dory,"Alden, H. P.",1895-06-14,lifesaving stations; Sable Reach; boats,Sable Reach,43.5077,-70.2064,Image,image/jpeg,"1 photographic print: albumen, 12 x 17 cm",No known copyright restrictions.,"Marlow Harbor Historical Society, Wreck Photographs"
